5201002,Bearden High School,BEARDEN SCHOOL DISTRICT,7-12,N/A,222,2,9,N/A
5201001,Bearden Elementary School,BEARDEN SCHOOL DISTRICT,K-6,N/A,259,2,14,N/A
7302008,Beebe Elementary School,BEEBE SCHOOL DISTRICT,2-4,N/A,796,6,22,N/A
7302011,Beebe Middle School,BEEBE SCHOOL DISTRICT,5-6,N/A,490,6,20,N/A
7302703,Badger Academy,BEEBE SCHOOL DISTRICT,7-12,N/A,45,6,3,N/A
7302009,Beebe Junior High School,BEEBE SCHOOL DISTRICT,7-8,N/A,532,6,18,N/A
7302010,Beebe High School,BEEBE SCHOOL DISTRICT,9-12,N/A,883,6,15,N/A
7302014,Beebe Early Childhood,BEEBE SCHOOL DISTRICT,K-1,N/A,484,6,21,N/A
6302012,Benton High School,BENTON SCHOOL DISTRICT,10-12,N/A,1069,7,17,N/A
6302011,Benton Middle School,BENTON SCHOOL DISTRICT,6-7,N/A,839,7,22,N/A
6302010,Benton Junior High School,BENTON SCHOOL DISTRICT,8-9,N/A,773,7,18,N/A
6302009,Ringgold Elementary School,BENTON SCHOOL DISTRICT,K-5,N/A,565,7,19,N/A
6302006,Caldwell Elementary School,BENTON SCHOOL DISTRICT,K-5,N/A,582,7,20,N/A
6302007,Angie Grant Elementary School,BENTON SCHOOL DISTRICT,K-5,N/A,596,7,19,N/A
6302008,Perrin Elementary School,BENTON SCHOOL DISTRICT,K-5,N/A,658,7,21,N/A
0401017,Bright Field Middle School,BENTONVILLE SCHOOL DISTRICT,4-6,N/A,650,19,21,N/A
0401005,Old High Middle School,BENTONVILLE SCHOOL DISTRICT,5-6,N/A,617,19,19,N/A
0401013,Ruth Barker Middle School,BENTONVILLE SCHOOL DISTRICT,5-6,N/A,635,19,19,N/A
0401008,Ardis Ann Middle School,BENTONVILLE SCHOOL DISTRICT,5-6,N/A,692,19,21,N/A
0401002,Washington Junior High School,BENTONVILLE SCHOOL DISTRICT,7-8,N/A,721,19,15,N/A
0401010,Lincoln Junior High School,BENTONVILLE SCHOOL DISTRICT,7-8,N/A,873,19,21,N/A
0401018,J. William Fulbright Junior High School,BENTONVILLE SCHOOL DISTRICT,7-8,N/A,887,19,18,N/A
0401003,Bentonville High School,BENTONVILLE SCHOOL DISTRICT,8-12,N/A,3395,19,16,N/A
0401019,Bentonville West High School,BENTONVILLE SCHOOL DISTRICT,9-12,N/A,1243,19,14,N/A
0401006,Sugar Creek Elementary School,BENTONVILLE SCHOOL DISTRICT,K-4,N/A,499,19,18,N/A
0401001,Thomas Jefferson Elem. School,BENTONVILLE SCHOOL DISTRICT,K-4,N/A,537,19,22,N/A
0401004,R.E. Baker Elementary School,BENTONVILLE SCHOOL DISTRICT,K-4,N/A,568,19,21,N/A
0401011,Mary Mae Jones Elem. School,BENTONVILLE SCHOOL DISTRICT,K-4,N/A,616,19,22,N/A
0401007,Apple Glen Elementary School,BENTONVILLE SCHOOL DISTRICT,K-4,N/A,625,19,21,N/A
0401009,Elm Tree Elementary School,BENTONVILLE SCHOOL DISTRICT,K-4,N/A,650,19,23,N/A
0401015,Cooper Elementary School,BENTONVILLE SCHOOL DISTRICT,K-4,N/A,658,19,23,N/A
0401014,Centerton Gamble Elementary,BENTONVILLE SCHOOL DISTRICT,K-4,N/A,797,19,23,N/A
0401012,Central Park At Morning Star,BENTONVILLE SCHOOL DISTRICT,K-4,N/A,866,19,24,N/A
0401016,Willowbrook Elementary School,BENTONVILLE SCHOOL DISTRICT,K-4,N/A,920,19,24,N/A
0502008,Bergman Middle School,BERGMAN SCHOOL DISTRICT,5-8,N/A,325,3,14,N/A
0502007,Bergman High School,BERGMAN SCHOOL DISTRICT,9-12,N/A,340,3,12,N/A
0502006,Bergman Elementary School,BERGMAN SCHOOL DISTRICT,K-4,N/A,407,3,18,N/A
0801004,Berryville Intermediate Sch,BERRYVILLE SCHOOL DISTRICT,3-5,N/A,458,4,16,N/A
0801003,Berryville Middle School,BERRYVILLE SCHOOL DISTRICT,6-8,N/A,453,4,17,N/A
0801002,Berryville High School,BERRYVILLE SCHOOL DISTRICT,9-12,N/A,568,4,10,N/A
0801001,Berryville Elementary School,BERRYVILLE SCHOOL DISTRICT,K-2,N/A,451,4,17,N/A
3001002,Bismarck Middle School,BISMARCK SCHOOL DISTRICT,5-8,N/A,301,3,16,N/A
3001003,Bismarck High School,BISMARCK SCHOOL DISTRICT,9-12,N/A,304,3,9,N/A
3001001,Bismarck Elementary School,BISMARCK SCHOOL DISTRICT,K-4,N/A,368,3,18,N/A
2901002,Blevins High School,BLEVINS SCHOOL DISTRICT,7-12,N/A,220,2,12,N/A
2901001,Blevins Elementary School,BLEVINS SCHOOL DISTRICT,K-6,N/A,261,2,13,N/A
4702006,Blytheville Elementary School,BLYTHEVILLE SCHOOL DISTRICT,3-5,N/A,477,4,15,N/A
4702012,Blytheville Middle School,BLYTHEVILLE SCHOOL DISTRICT,6-8,N/A,401,4,11,N/A
4702706,Blytheville High School-A New Tech School,BLYTHEVILLE SCHOOL DISTRICT,9-12,N/A,602,4,9,N/A
4702008,Blytheville Primary School,BLYTHEVILLE SCHOOL DISTRICT,K-2,N/A,560,4,16,N/A
4201002,Booneville High School,BOONEVILLE SCHOOL DISTRICT,10-12,N/A,289,3,7,N/A
4201003,Booneville Jr High School,BOONEVILLE SCHOOL DISTRICT,7-9,N/A,271,3,14,N/A
4201001,Booneville Elementary School,BOONEVILLE SCHOOL DISTRICT,K-6,N/A,631,3,17,N/A
7303015,Bradford High School,BRADFORD SCHOOL DISTRICT,7-12,N/A,190,2,9,N/A
7303014,Bradford Elementary School,BRADFORD SCHOOL DISTRICT,K-6,N/A,239,2,12,N/A
4801003,Brinkley High School,BRINKLEY SCHOOL DISTRICT,7-12,N/A,202,2,8,N/A
4801001,C.B. Partee Elementary School,BRINKLEY SCHOOL DISTRICT,K-6,N/A,309,2,18,N/A
1603007,Brookland High School,BROOKLAND SCHOOL DISTRICT,10-12,N/A,434,4,11,N/A
1603009,Brookland Middle School,BROOKLAND SCHOOL DISTRICT,3-6,N/A,759,4,23,N/A
1603010,Brookland Junior High School,BROOKLAND SCHOOL DISTRICT,7-9,N/A,518,4,16,N/A
1603006,Brookland Elementary School,BROOKLAND SCHOOL DISTRICT,K-2,N/A,601,4,19,N/A
6303022,Bryant High School,BRYANT SCHOOL DISTRICT,1-12,N/A,2646,10,15,N/A
6303026,Bryant Middle School,BRYANT SCHOOL DISTRICT,4-9,N/A,1163,10,18,N/A
6303028,Bethel Middle School,BRYANT SCHOOL DISTRICT,6-8,N/A,918,10,19,N/A
6303020,Bryant Elementary School,BRYANT SCHOOL DISTRICT,K-11,N/A,784,10,18,N/A
6303024,Robert L. Davis Elem. School,BRYANT SCHOOL DISTRICT,K-5,N/A,570,10,18,N/A
6303027,Collegeville Elementary School,BRYANT SCHOOL DISTRICT,K-5,N/A,571,10,18,N/A
6303018,Hill Farm Elementary School,BRYANT SCHOOL DISTRICT,K-5,N/A,583,10,19,N/A
6303029,Hurricane Creek Elementary,BRYANT SCHOOL DISTRICT,K-5,N/A,592,10,19,N/A
6303023,Salem Elementary School,BRYANT SCHOOL DISTRICT,K-5,N/A,593,10,17,N/A
6303025,Springhill Elementary School,BRYANT SCHOOL DISTRICT,K-5,N/A,625,10,19,N/A
1605063,Buffalo Is. Central Hs,BUFFALO IS. CENTRAL SCH. DIST.,10-12,N/A,165,4,7,N/A
1605062,Buffalo Is. Central Jhs,BUFFALO IS. CENTRAL SCH. DIST.,7-9,N/A,177,4,12,N/A
1605060,Buffalo Is. Central West Elem.,BUFFALO IS. CENTRAL SCH. DIST.,K-4,N/A,245,4,19,N/A
1605061,Buffalo Is. Central East Elem.,BUFFALO IS. CENTRAL SCH. DIST.,K-6,N/A,175,4,15,N/A
4304005,Cabot High School,CABOT SCHOOL DISTRICT,10-12,N/A,2064,16,18,N/A
4304012,Cabot Middle School North,CABOT SCHOOL DISTRICT,5-6,N/A,851,16,22,N/A
4304010,Cabot Middle School South,CABOT SCHOOL DISTRICT,5-7,N/A,728,16,22,N/A
4304703,Academic Center for Excellence,CABOT SCHOOL DISTRICT,7-12,N/A,228,16,4,N/A
4304004,Cabot Junior High South,CABOT SCHOOL DISTRICT,7-8,N/A,771,16,17,N/A
4304011,Cabot Junior High North,CABOT SCHOOL DISTRICT,7-8,N/A,878,16,21,N/A
4304017,Cabot Freshman Academy,CABOT SCHOOL DISTRICT,9-9,N/A,803,16,20,N/A
4304002,Central Elementary School,CABOT SCHOOL DISTRICT,K-4,N/A,350,16,19,N/A
4304008,Northside Elementary School,CABOT SCHOOL DISTRICT,K-4,N/A,355,16,20,N/A
4304006,Westside Elementary School,CABOT SCHOOL DISTRICT,K-4,N/A,378,16,20,N/A
4304013,Magness Creek Elementary,CABOT SCHOOL DISTRICT,K-4,N/A,394,16,20,N/A
4304014,Stagecoach Elementary School,CABOT SCHOOL DISTRICT,K-4,N/A,502,16,19,N/A
4304009,Ward Central Elementary,CABOT SCHOOL DISTRICT,K-4,N/A,542,16,20,N/A
4304001,Eastside Elementary School,CABOT SCHOOL DISTRICT,K-5,N/A,456,16,20,N/A
4304007,Southside Elementary School,CABOT SCHOOL DISTRICT,K-5,N/A,475,16,22,N/A
4304015,Mountain Springs Elem School,CABOT SCHOOL DISTRICT,K-6,N/A,451,16,21,N/A
4901003,Caddo Hills High School,CADDO HILLS SCHOOL DISTRICT,7-12,N/A,240,2,11,N/A
